HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,EloDiff,Liga_AUT,Liga_B1,Liga_D1,Liga_D2,Liga_DEN,Liga_E0,Liga_E1,Liga_E2,Liga_F1,Liga_F2,Liga_FIN,Liga_G1,Liga_I1,Liga_I2,Liga_N1,Liga_NOR,Liga_P1,Liga_POL,Liga_ROM,Liga_RUS,Liga_SC0,Liga_SC1,Liga_SP1,Liga_SP2,Liga_SWE,Liga_T1
-0.5915200989296815,-0.6062471124625332,0.018623452792091086,0.39772457784260906,-0.5198812717143976,-0.6016921586384393,0.017105597831281134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.8430060224933053,-0.4531019402550028,0.4403304017789702,1.3166408967038792,1.1575474017599456,0.9278946540428136,-0.4413146936587686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.21507904235496444,1.2578810053432488,-1.2464973941685462,-1.4401080598799314,-0.10052410334581177,0.010142566434061867,-1.1820305162303006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.10035634845089872,0.5231156618038254,-0.8247904451816671,0.39772457784260906,0.7381902333913598,0.9278946540428136,-0.706553773966894,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.13306079590984565,-1.2740528785432514,-1.2464973941685462,-1.7464134995003548,-1.3585956084515691,-1.8253616087834414,1.2932587252967789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.21080848844916697,-0.46801867780768436,-1.2464973941685462,0.09141913822218564,-0.5198812717143976,-0.6016921586384393,0.29166185829753916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4560586755804557,1.200004063638844,0.8620373507658493,1.0103354570834557,1.9962617384971173,1.8456467416515652,-1.876611269309144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9316994226000215,-0.3523973876215654,0.018623452792091086,0.09141913822218564,-0.5198812717143976,-0.2957747961021887,-0.6559103914944643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0703036602874973,0.6903820122278951,0.018623452792091086,0.39772457784260906,-0.10052410334581177,-0.6016921586384393,0.4298416511266173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8581559463448787,0.5498331961759632,-0.403083496194788,-0.8274971806390845,1.1575474017599456,0.9278946540428136,0.3488422945905933,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
